#day,word,ipa,part_of_speech,meaning_pt,example_en,example_pt,tags
1,goal,/ɡoʊl/,noun,objetivo,"My goal is to speak English fluently.","Meu objetivo é falar inglês fluentemente.",core
1,learn,/lɜːrn/,verb,aprender,"I learn seven words a day.","Eu aprendo sete palavras por dia.",core
1,practice,/ˈpræk.tɪs/,noun/verb,prática/praticar,"Practice speaking every day.","Pratique falar todos os dias.",core
1,repeat,/rɪˈpiːt/,verb,repetir,"Repeat the sentences out loud.","Repita as frases em voz alta.",core
1,remember,/rɪˈmem.bər/,verb,lembrar,"Remember the words with flashcards.","Lembre as palavras com flashcards.",core
1,sentence,/ˈsen.təns/,noun,frase,"Write three sentences today.","Escreva três frases hoje.",core
1,focus,/ˈfoʊ.kəs/,noun/verb,foco/focar,"Focus for twenty minutes.","Foque por vinte minutos.",core
2,listen,/ˈlɪs.ən/,verb,ouvir,"Listen to native speakers.","Ouça falantes nativos.",core
2,speak,/spiːk/,verb,falar,"Speak without fear.","Fale sem medo.",core
2,understand,/ˌʌn.dɚˈstænd/,verb,entender,"Do you understand these phrases?","Você entende estas frases?",core
2,word,/wɝːd/,noun,palavra,"This word is very common.","Esta palavra é muito comum.",core
2,meaning,/ˈmiː.nɪŋ/,noun,significado,"Check the meaning in a dictionary.","Verifique o significado em um dicionário.",core
2,accent,/ˈæk.sənt/,noun,sotaque,"Her accent is very clear.","O sotaque dela é muito claro.",core
2,confidence,/ˈkɒn.fɪ.dəns/,noun,confiança,"Confidence grows with practice.","A confiança cresce com a prática.",core
3,read,/riːd/,verb,ler,"Read the dialogue aloud.","Leia o diálogo em voz alta.",core
3,write,/raɪt/,verb,escrever,"Write three new sentences.","Escreva três frases novas.",core
3,record,/rɪˈkɔːrd/,verb,gravar,"Record a sixty-second audio.","Grave um áudio de sessenta segundos.",core
3,check,/tʃek/,verb,checar,"Check your pronunciation.","Cheque sua pronúncia.",core
3,progress,/ˈprɑː.ɡres/,noun,progresso,"Your progress is visible.","Seu progresso é visível.",core
3,habit,/ˈhæb.ɪt/,noun,hábito,"Build a daily habit.","Construa um hábito diário.",core
3,consistent,/kənˈsɪs.tənt/,adjective,consistente,"Be consistent for twelve weeks.","Seja consistente por doze semanas.",core
4,pronunciation,/prəˌnʌn.siˈeɪ.ʃən/,noun,pronúncia,"Improve your pronunciation.","Melhore sua pronúncia.",core
4,fluency,/ˈfluː.ən.si/,noun,fluência,"Fluency comes with use.","A fluência vem com o uso.",core
4,vocabulary,/vəˈkæb.jə.ler.i/,noun,vocabulário,"Grow your vocabulary fast.","Cresça seu vocabulário rápido.",core
4,phrase,/freɪz/,noun,expressão,"Learn common phrases.","Aprenda expressões comuns.",core
4,translate,/trænsˈleɪt/,verb,traduzir,"Translate only when needed.","Traduza apenas quando necessário.",core
4,meaningful,/ˈmiː.nɪŋ.fəl/,adjective,significativo,"Make meaningful sentences.","Faça frases significativas.",core
4,clear,/klɪr/,adjective,claro,"Keep a clear goal.","Mantenha um objetivo claro.",core
5,review,/rɪˈvjuː/,noun/verb,revisão/revisar,"Review yesterday's words.","Revise as palavras de ontem.",core
5,spaced,/speɪst/,adjective,espaçado,"Use spaced repetition.","Use repetição espaçada.",core
5,queue,/kjuː/,noun,fila,"Your review queue is ready.","Sua fila de revisão está pronta.",core
5,effort,/ˈef.ɚt/,noun,esforço,"Small daily effort wins.","Esforço diário pequeno vence.",core
5,short,/ʃɔːrt/,adjective,curto,"Short sessions are effective.","Sessões curtas são eficazes.",core
5,retain,/rɪˈteɪn/,verb,reter,"Retain more with reviews.","Retenha mais com revisões.",core
5,track,/træk/,verb,acompanhar,"Track your learning.","Acompanhe seu aprendizado.",core
6,speak up,/ˈspiːk ʌp/,phrasal verb,falar mais alto,"Speak up during class.","Fale mais alto durante a aula.",phrasal
6,look up,/lʊk ʌp/,phrasal verb,procurar (no dicionário),"Look up the word.","Procure a palavra.",phrasal
6,carry on,/ˈkæri ɒn/,phrasal verb,continuar,"Carry on studying.","Continue estudando.",phrasal
6,figure out,/ˈfɪɡ.jɚ aʊt/,phrasal verb,descobrir/entender,"Figure out the meaning.","Descubra o significado.",phrasal
6,write down,/raɪt daʊn/,phrasal verb,anotar,"Write down your ideas.","Anote suas ideias.",phrasal
6,try on,/traɪ ɒn/,phrasal verb,experimentar (roupa),"Try on this jacket.","Experimente esta jaqueta.",phrasal
6,turn on,/tɜːrn ɒn/,phrasal verb,ligar,"Turn on the light.","Ligue a luz.",phrasal
7,small talk,/smɔːl tɔːk/,noun,conversa trivial,"Make small talk at work.","Faça conversa trivial no trabalho.",conversation
7,feedback,/ˈfiːd.bæk/,noun,feedback,"Ask for feedback weekly.","Peça feedback semanalmente.",learning
7,shadowing,/ˈʃæd.oʊ.ɪŋ/,noun,shadowing (técnica),"Do shadowing with podcasts.","Faça shadowing com podcasts.",learning
7,breakthrough,/ˈbreɪk.θruː/,noun,avanço,"Expect a breakthrough soon.","Espere um avanço em breve.",learning
7,comfort zone,/ˈkʌm.fɚt zoʊn/,noun,zona de conforto,"Leave your comfort zone.","Saia da sua zona de conforto.",mindset
7,schedule,/ˈskedʒ.uːl/,noun,agenda/cronograma,"Follow your study schedule.","Siga seu cronograma de estudos.",planning
7,commitment,/kəˈmɪt.mənt/,noun,compromisso,"Keep your commitment.","Mantenha seu compromisso.",mindset
